Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228064900 , Gap_End_1 : 1452379654 , Gap_End_2 : 1452471275, GeoHash : gbsg1k, Lon1 : 48.366634 , Lat1 : -4.5066915, Lon2 : 48.36458 , Lat2 : -4.5117016 }
Suspicious RendezVous : { Vessel_1 : 999999999, Vessel_2 : 228064900 , Gap_End_1 : 1452383953 , Gap_End_2 : 1452471275, GeoHash : gbsg1k, Lon1 : 48.366627 , Lat1 : -4.5067215, Lon2 : 48.36458 , Lat2 : -4.5117016 }
Suspicious RendezVous : { Vessel_1 : 311368000, Vessel_2 : 235102352 , Gap_End_1 : 1452379520 , Gap_End_2 : 1452471354, GeoHash : gbsg68, Lon1 : 48.385067 , Lat1 : -4.4581, Lon2 : 48.383827 , Lat2 : -4.450965 }
Suspicious RendezVous : { Vessel_1 : 311368000, Vessel_2 : 235102352 , Gap_End_1 : 1452471322 , Gap_End_2 : 1452471354, GeoHash : gbsg68, Lon1 : 48.385174 , Lat1 : -4.4581466, Lon2 : 48.383827 , Lat2 : -4.450965 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1452380064 , Gap_End_2 : 1452471624, GeoHash : gbsg1m, Lon1 : 48.369617 , Lat1 : -4.515003, Lon2 : 48.369167 , Lat2 : -4.513665 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1452385844 , Gap_End_2 : 1452471624, GeoHash : gbsg1m, Lon1 : 48.36963 , Lat1 : -4.5149865, Lon2 : 48.369167 , Lat2 : -4.513665 }
Suspicious RendezVous : { Vessel_1 : 228762000, Vessel_2 : 228186700 , Gap_End_1 : 1452471504 , Gap_End_2 : 1452471624, GeoHash : gbsg1m, Lon1 : 48.36964 , Lat1 : -4.5150185, Lon2 : 48.369167 , Lat2 : -4.513665 }
Suspicious RendezVous : { Vessel_1 : 228064900, Vessel_2 : 999999999 , Gap_End_1 : 1452471275 , Gap_End_2 : 1452471625, GeoHash : gbsg1k, Lon1 : 48.36458 , Lat1 : -4.5117016, Lon2 : 48.36664 , Lat2 : -4.506678 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227730220 , Gap_End_1 : 1452379490 , Gap_End_2 : 1452474969, GeoHash : gbsg1z, Lon1 : 48.38108 , Lat1 : -4.485727, Lon2 : 48.380707 , Lat2 : -4.487275 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227730220 , Gap_End_1 : 1452471618 , Gap_End_2 : 1452474969, GeoHash : gbsg1z, Lon1 : 48.381104 , Lat1 : -4.4856915, Lon2 : 48.380707 , Lat2 : -4.487275 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 228017700 , Gap_End_1 : 1452474969 , Gap_End_2 : 1452476845, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.487275, Lon2 : 48.3811 , Lat2 : -4.4857135 }
Suspicious RendezVous : { Vessel_1 : 235102352, Vessel_2 : 311368000 , Gap_End_1 : 1452471354 , Gap_End_2 : 1452545300, GeoHash : gbsg68, Lon1 : 48.383827 , Lat1 : -4.450965, Lon2 : 48.385166 , Lat2 : -4.458165 }
