Suspicious RendezVous : { Vessel_1 : 228109000, Vessel_2 : 228195000 , Gap_End_1 : 1457767792 , Gap_End_2 : 1458041056, GeoHash : gbs6rw, Lon1 : 48.24124 , Lat1 : -4.9396334, Lon2 : 48.245834 , Lat2 : -4.9358234 }
Suspicious RendezVous : { Vessel_1 : 227705102, Vessel_2 : 227580520 , Gap_End_1 : 1458041051 , Gap_End_2 : 1458041061, GeoHash : gbsg1x, Lon1 : 48.383648 , Lat1 : -4.49535, Lon2 : 48.379524 , Lat2 : -4.4970617 }
Suspicious RendezVous : { Vessel_1 : 228051000, Vessel_2 : 227730220 , Gap_End_1 : 1458041047 , Gap_End_2 : 1458041550, GeoHash : gbsg1z, Lon1 : 48.3813 , Lat1 : -4.485093, Lon2 : 48.380707 , Lat2 : -4.4873 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1458041061 , Gap_End_2 : 1458068060, GeoHash : gbsg1x, Lon1 : 48.379524 , Lat1 : -4.4970617, Lon2 : 48.38362 , Lat2 : -4.4954734 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1458068032 , Gap_End_2 : 1458068060, GeoHash : gbsg1x, Lon1 : 48.37952 , Lat1 : -4.497065, Lon2 : 48.38362 , Lat2 : -4.4954734 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1458068060 , Gap_End_2 : 1458089583, GeoHash : gbsg1x, Lon1 : 48.38362 , Lat1 : -4.4954734, Lon2 : 48.379604 , Lat2 : -4.497093 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227580520 , Gap_End_1 : 1458089577 , Gap_End_2 : 1458089583, GeoHash : gbsg1x, Lon1 : 48.38368 , Lat1 : -4.495448, Lon2 : 48.379604 , Lat2 : -4.497093 }
Suspicious RendezVous : { Vessel_1 : 227635680, Vessel_2 : 227142200 , Gap_End_1 : 1457971148 , Gap_End_2 : 1458089587, GeoHash : gbscte, Lon1 : 48.098053 , Lat1 : -4.3238482, Lon2 : 48.097996 , Lat2 : -4.324045 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 228051000 , Gap_End_1 : 1458041550 , Gap_End_2 : 1458089588, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.4873, Lon2 : 48.381348 , Lat2 : -4.4851117 }
Suspicious RendezVous : { Vessel_1 : 227580520, Vessel_2 : 227574020 , Gap_End_1 : 1458089583 , Gap_End_2 : 1458122807, GeoHash : gbsg1x, Lon1 : 48.379604 , Lat1 : -4.497093, Lon2 : 48.383633 , Lat2 : -4.49544 }
