Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227612860 , Gap_End_1 : 1443791825 , Gap_End_2 : 1443794134, GeoHash : gbsg1, Lon1 : 48.367126 , Lat1 : -4.4882565, Lon2 : 48.3806 , Lat2 : -4.4977283 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1443794134 , Gap_End_2 : 1443794432, GeoHash : gbsg1, Lon1 : 48.3806 , Lat1 : -4.4977283, Lon2 : 48.382454 , Lat2 : -4.4966717 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 227008170 , Gap_End_1 : 1443769937 , Gap_End_2 : 1443796674, GeoHash : gbse3, Lon1 : 48.387547 , Lat1 : -4.8760867, Lon2 : 48.40523 , Lat2 : -4.859648 }
Suspicious RendezVous : { Vessel_1 : 227574020, Vessel_2 : 227005550 , Gap_End_1 : 1443794432 , Gap_End_2 : 1443797130, GeoHash : gbsg1, Lon1 : 48.382454 , Lat1 : -4.4966717, Lon2 : 48.378975 , Lat2 : -4.483915 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228186700 , Gap_End_1 : 1443797130 , Gap_End_2 : 1443798739, GeoHash : gbsg1, Lon1 : 48.378975 , Lat1 : -4.483915, Lon2 : 48.370834 , Lat2 : -4.512665 }
Suspicious RendezVous : { Vessel_1 : 228109000, Vessel_2 : 227116100 , Gap_End_1 : 1443774083 , Gap_End_2 : 1443803476, GeoHash : gbs9h, Lon1 : 48.015118 , Lat1 : -4.7376366, Lon2 : 48.0104 , Lat2 : -4.733257 }
Suspicious RendezVous : { Vessel_1 : 227116100, Vessel_2 : 227002630 , Gap_End_1 : 1443803476 , Gap_End_2 : 1443803697, GeoHash : gbs9h, Lon1 : 48.0104 , Lat1 : -4.733257, Lon2 : 48.017414 , Lat2 : -4.72009 }
Suspicious RendezVous : { Vessel_1 : 227472000, Vessel_2 : 227116100 , Gap_End_1 : 1443747439 , Gap_End_2 : 1443811505, GeoHash : gbs6j, Lon1 : 48.185997 , Lat1 : -5.009957, Lon2 : 48.197815 , Lat2 : -5.0404935 }
Suspicious RendezVous : { Vessel_1 : 227472000, Vessel_2 : 227116100 , Gap_End_1 : 1443748560 , Gap_End_2 : 1443811505, GeoHash : gbs6j, Lon1 : 48.197094 , Lat1 : -5.014555, Lon2 : 48.197815 , Lat2 : -5.0404935 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443798739 , Gap_End_2 : 1443815725, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.37929 , Lat2 : -4.4841585 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 227005550 , Gap_End_1 : 1443803040 , Gap_End_2 : 1443815725, GeoHash : gbsg1, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.37929 , Lat2 : -4.4841585 }
