Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446396305 , Gap_End_2 : 1446396358, GeoHash : gbsg1z, Lon1 : 48.38074 , Lat1 : -4.4859486, Lon2 : 48.380688 , Lat2 : -4.4859433 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 226263000 , Gap_End_1 : 1446396358 , Gap_End_2 : 1446396372, GeoHash : gbsg1z, Lon1 : 48.380688 , Lat1 : -4.4859433, Lon2 : 48.379795 , Lat2 : -4.4857483 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227114300 , Gap_End_1 : 1446281005 , Gap_End_2 : 1446397494, GeoHash : gbse55, Lon1 : 48.35954 , Lat1 : -4.780102, Lon2 : 48.3606 , Lat2 : -4.77959 }
Suspicious RendezVous : { Vessel_1 : 227114300, Vessel_2 : 228017700 , Gap_End_1 : 1446397494 , Gap_End_2 : 1446397622, GeoHash : gbse55, Lon1 : 48.3606 , Lat1 : -4.77959, Lon2 : 48.357674 , Lat2 : -4.78575 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227730220 , Gap_End_1 : 1446396372 , Gap_End_2 : 1446397732, GeoHash : gbsg1z, Lon1 : 48.379795 , Lat1 : -4.4857483, Lon2 : 48.3807 , Lat2 : -4.48728 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446278395 , Gap_End_2 : 1446399231, GeoHash : gbsg1x, Lon1 : 48.38027 , Lat1 : -4.4982815, Lon2 : 48.382473 , Lat2 : -4.4966664 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446340316 , Gap_End_2 : 1446399231, GeoHash : gbsg1x, Lon1 : 48.38027 , Lat1 : -4.4982815, Lon2 : 48.382473 , Lat2 : -4.4966664 }
Suspicious RendezVous : { Vessel_1 : 227148000, Vessel_2 : 227592820 , Gap_End_1 : 1446396294 , Gap_End_2 : 1446399231, GeoHash : gbsg1x, Lon1 : 48.38028 , Lat1 : -4.4982615, Lon2 : 48.382473 , Lat2 : -4.4966664 }
Suspicious RendezVous : { Vessel_1 : 227592820, Vessel_2 : 227148000 , Gap_End_1 : 1446399231 , Gap_End_2 : 1446450115, GeoHash : gbsg1x, Lon1 : 48.382473 , Lat1 : -4.4966664, Lon2 : 48.380272 , Lat2 : -4.498325 }
Suspicious RendezVous : { Vessel_1 : 227730220, Vessel_2 : 227003050 , Gap_End_1 : 1446397732 , Gap_End_2 : 1446450127, GeoHash : gbsg1z, Lon1 : 48.3807 , Lat1 : -4.48728, Lon2 : 48.38074 , Lat2 : -4.4859715 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446450127 , Gap_End_2 : 1446450180, GeoHash : gbsg1z, Lon1 : 48.38074 , Lat1 : -4.4859715, Lon2 : 48.380672 , Lat2 : -4.4859915 }
Suspicious RendezVous : { Vessel_1 : 227002330, Vessel_2 : 226263000 , Gap_End_1 : 1446450180 , Gap_End_2 : 1446450401, GeoHash : gbsg1z, Lon1 : 48.380672 , Lat1 : -4.4859915, Lon2 : 48.379803 , Lat2 : -4.485777 }
Suspicious RendezVous : { Vessel_1 : 227612860, Vessel_2 : 227574020 , Gap_End_1 : 1446278986 , Gap_End_2 : 1446451025, GeoHash : gbsfc2, Lon1 : 48.29624 , Lat1 : -4.5122633, Lon2 : 48.296425 , Lat2 : -4.512037 }
Suspicious RendezVous : { Vessel_1 : 226263000, Vessel_2 : 227003050 , Gap_End_1 : 1446450401 , Gap_End_2 : 1446498368, GeoHash : gbsg1z, Lon1 : 48.379803 , Lat1 : -4.485777, Lon2 : 48.380753 , Lat2 : -4.4859385 }
Suspicious RendezVous : { Vessel_1 : 227003050, Vessel_2 : 227002330 , Gap_End_1 : 1446498368 , Gap_End_2 : 1446498421, GeoHash : gbsg1z, Lon1 : 48.380753 , Lat1 : -4.4859385, Lon2 : 48.380672 , Lat2 : -4.485965 }
