Suspicious RendezVous : { Vessel_1 : 227820000, Vessel_2 : 227867000 , Gap_End_1 : 1443800276 , Gap_End_2 : 1443801745, GeoHash : gbscts, Lon1 : 48.098667 , Lat1 : -4.3269134, Lon2 : 48.09889 , Lat2 : -4.3266783 }
Suspicious RendezVous : { Vessel_1 : 228167900, Vessel_2 : 227002630 , Gap_End_1 : 1443732191 , Gap_End_2 : 1443808524, GeoHash : gbs9js, Lon1 : 48.014473 , Lat1 : -4.677728, Lon2 : 48.01488 , Lat2 : -4.671565 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227114300 , Gap_End_1 : 1443772189 , Gap_End_2 : 1443810723, GeoHash : gbse55, Lon1 : 48.357933 , Lat1 : -4.7889166, Lon2 : 48.36035 , Lat2 : -4.7798233 }
Suspicious RendezVous : { Vessel_1 : 227867000, Vessel_2 : 236401000 , Gap_End_1 : 1443801745 , Gap_End_2 : 1443833229, GeoHash : gbscts, Lon1 : 48.09889 , Lat1 : -4.3266783, Lon2 : 48.09833 , Lat2 : -4.3264985 }
Suspicious RendezVous : { Vessel_1 : 227867000, Vessel_2 : 236401000 , Gap_End_1 : 1443815644 , Gap_End_2 : 1443833229, GeoHash : gbscts, Lon1 : 48.099 , Lat1 : -4.3265533, Lon2 : 48.09833 , Lat2 : -4.3264985 }
Suspicious RendezVous : { Vessel_1 : 236401000, Vessel_2 : 226178000 , Gap_End_1 : 1443833229 , Gap_End_2 : 1443847337, GeoHash : gbscts, Lon1 : 48.09833 , Lat1 : -4.3264985, Lon2 : 48.09869 , Lat2 : -4.324168 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443784132 , Gap_End_2 : 1443853401, GeoHash : gbsg1z, Lon1 : 48.380707 , Lat1 : -4.48725, Lon2 : 48.379265 , Lat2 : -4.4839735 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443797130 , Gap_End_2 : 1443853401, GeoHash : gbsg1z, Lon1 : 48.378975 , Lat1 : -4.483915, Lon2 : 48.379265 , Lat2 : -4.4839735 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443815725 , Gap_End_2 : 1443853401, GeoHash : gbsg1z, Lon1 : 48.37929 , Lat1 : -4.4841585, Lon2 : 48.379265 , Lat2 : -4.4839735 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443845775 , Gap_End_2 : 1443853401, GeoHash : gbsg1z, Lon1 : 48.3807 , Lat1 : -4.4872584, Lon2 : 48.379265 , Lat2 : -4.4839735 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 205204000 , Gap_End_1 : 1443789961 , Gap_End_2 : 1443861269, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.36949 , Lat2 : -4.5148 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 205204000 , Gap_End_1 : 1443798739 , Gap_End_2 : 1443861269, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.36949 , Lat2 : -4.5148 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 205204000 , Gap_End_1 : 1443803040 , Gap_End_2 : 1443861269, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.512665, Lon2 : 48.36949 , Lat2 : -4.5148 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 205204000 , Gap_End_1 : 1443816372 , Gap_End_2 : 1443861269, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.36949 , Lat2 : -4.5148 }
Suspicious RendezVous : { Vessel_1 : 228186700, Vessel_2 : 205204000 , Gap_End_1 : 1443847271 , Gap_End_2 : 1443861269, GeoHash : gbsg1m, Lon1 : 48.370834 , Lat1 : -4.5124984, Lon2 : 48.36949 , Lat2 : -4.5148 }
Suspicious RendezVous : { Vessel_1 : 227116100, Vessel_2 : 228109000 , Gap_End_1 : 1443811505 , Gap_End_2 : 1443866242, GeoHash : gbs6jq, Lon1 : 48.197815 , Lat1 : -5.0404935, Lon2 : 48.201977 , Lat2 : -5.031945 }
Suspicious RendezVous : { Vessel_1 : 311513000, Vessel_2 : 305709000 , Gap_End_1 : 1443860769 , Gap_End_2 : 1443870588, GeoHash : gbsg4r, Lon1 : 48.380997 , Lat1 : -4.4671764, Lon2 : 48.382767 , Lat2 : -4.463455 }
Suspicious RendezVous : { Vessel_1 : 311513000, Vessel_2 : 305709000 , Gap_End_1 : 1443869291 , Gap_End_2 : 1443870588, GeoHash : gbsg4r, Lon1 : 48.380997 , Lat1 : -4.4671783, Lon2 : 48.382767 , Lat2 : -4.463455 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 227005550 , Gap_End_1 : 1443853401 , Gap_End_2 : 1443870775, GeoHash : gbsg1z, Lon1 : 48.379265 , Lat1 : -4.4839735, Lon2 : 48.379684 , Lat2 : -4.484997 }
Suspicious RendezVous : { Vessel_1 : 205204000, Vessel_2 : 228186700 , Gap_End_1 : 1443861269 , Gap_End_2 : 1443877203, GeoHash : gbsg1m, Lon1 : 48.36949 , Lat1 : -4.5148, Lon2 : 48.370834 , Lat2 : -4.5124984 }
Suspicious RendezVous : { Vessel_1 : 305709000, Vessel_2 : 311513000 , Gap_End_1 : 1443870588 , Gap_End_2 : 1443879908, GeoHash : gbsg4r, Lon1 : 48.382767 , Lat1 : -4.463455, Lon2 : 48.38098 , Lat2 : -4.467095 }
Suspicious RendezVous : { Vessel_1 : 227114300, Vessel_2 : 228017700 , Gap_End_1 : 1443810723 , Gap_End_2 : 1443890101, GeoHash : gbse55, Lon1 : 48.36035 , Lat1 : -4.7798233, Lon2 : 48.35725 , Lat2 : -4.786142 }
Suspicious RendezVous : { Vessel_1 : 226178000, Vessel_2 : 226216000 , Gap_End_1 : 1443847337 , Gap_End_2 : 1443892961, GeoHash : gbscts, Lon1 : 48.09869 , Lat1 : -4.324168, Lon2 : 48.098778 , Lat2 : -4.3267565 }
Suspicious RendezVous : { Vessel_1 : 226178000, Vessel_2 : 226216000 , Gap_End_1 : 1443850116 , Gap_End_2 : 1443892961, GeoHash : gbscts, Lon1 : 48.098175 , Lat1 : -4.325287, Lon2 : 48.098778 , Lat2 : -4.3267565 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 228813000 , Gap_End_1 : 1443799970 , Gap_End_2 : 1443902661, GeoHash : gbse25, Lon1 : 48.403748 , Lat1 : -4.917683, Lon2 : 48.404015 , Lat2 : -4.915675 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 228813000 , Gap_End_1 : 1443886600 , Gap_End_2 : 1443904820, GeoHash : gbs7r5, Lon1 : 48.402355 , Lat1 : -4.9562917, Lon2 : 48.40151 , Lat2 : -4.955322 }
Suspicious RendezVous : { Vessel_1 : 228336000, Vessel_2 : 227114300 , Gap_End_1 : 1443847585 , Gap_End_2 : 1443908643, GeoHash : gbse51, Lon1 : 48.35071 , Lat1 : -4.789915, Lon2 : 48.350193 , Lat2 : -4.7874284 }
Suspicious RendezVous : { Vessel_1 : 227312180, Vessel_2 : 226084000 , Gap_End_1 : 1443848186 , Gap_End_2 : 1443913940, GeoHash : gbsdfp, Lon1 : 48.337685 , Lat1 : -4.827565, Lon2 : 48.33933 , Lat2 : -4.828562 }
Suspicious RendezVous : { Vessel_1 : 228017700, Vessel_2 : 228813000 , Gap_End_1 : 1443876595 , Gap_End_2 : 1443930234, GeoHash : gbs7rk, Lon1 : 48.406864 , Lat1 : -4.952522, Lon2 : 48.40851 , Lat2 : -4.9515185 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443870775 , Gap_End_2 : 1443939865, GeoHash : gbsg1z, Lon1 : 48.379684 , Lat1 : -4.484997, Lon2 : 48.379135 , Lat2 : -4.4840584 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443890263 , Gap_End_2 : 1443939865, GeoHash : gbsg1z, Lon1 : 48.380714 , Lat1 : -4.4872584, Lon2 : 48.379135 , Lat2 : -4.4840584 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443906953 , Gap_End_2 : 1443939865, GeoHash : gbsg1z, Lon1 : 48.380714 , Lat1 : -4.4872665, Lon2 : 48.379135 , Lat2 : -4.4840584 }
Suspicious RendezVous : { Vessel_1 : 227005550, Vessel_2 : 228017700 , Gap_End_1 : 1443936430 , Gap_End_2 : 1443939865, GeoHash : gbsg1z, Lon1 : 48.38069 , Lat1 : -4.48727, Lon2 : 48.379135 , Lat2 : -4.4840584 }
Suspicious RendezVous : { Vessel_1 : 228336000, Vessel_2 : 228813000 , Gap_End_1 : 1443893563 , Gap_End_2 : 1443959064, GeoHash : gbse8m, Lon1 : 48.45989 , Lat1 : -4.907183, Lon2 : 48.45774 , Lat2 : -4.909955 }
Suspicious RendezVous : { Vessel_1 : 228813000, Vessel_2 : 228017700 , Gap_End_1 : 1443930234 , Gap_End_2 : 1443969557, GeoHash : gbs7rk, Lon1 : 48.40851 , Lat1 : -4.9515185, Lon2 : 48.406834 , Lat2 : -4.9528933 }
Suspicious RendezVous : { Vessel_1 : 226216000, Vessel_2 : 227410000 , Gap_End_1 : 1443892961 , Gap_End_2 : 1443983550, GeoHash : gbscts, Lon1 : 48.098778 , Lat1 : -4.3267565, Lon2 : 48.100082 , Lat2 : -4.319315 }
Suspicious RendezVous : { Vessel_1 : 226216000, Vessel_2 : 227410000 , Gap_End_1 : 1443895720 , Gap_End_2 : 1443983550, GeoHash : gbscts, Lon1 : 48.098797 , Lat1 : -4.3267484, Lon2 : 48.100082 , Lat2 : -4.319315 }
Suspicious RendezVous : { Vessel_1 : 226216000, Vessel_2 : 227410000 , Gap_End_1 : 1443896479 , Gap_End_2 : 1443983550, GeoHash : gbscts, Lon1 : 48.098793 , Lat1 : -4.32676, Lon2 : 48.100082 , Lat2 : -4.319315 }
Suspicious RendezVous : { Vessel_1 : 226216000, Vessel_2 : 227410000 , Gap_End_1 : 1443901500 , Gap_End_2 : 1443983550, GeoHash : gbscts, Lon1 : 48.098785 , Lat1 : -4.326745, Lon2 : 48.100082 , Lat2 : -4.319315 }
